"year","unitid","inst_name","state_name","number_applied","number_admitted","number_enrolled_total","reqt_hs_rank","reqt_test_scores","reqt_hs_gpa","reqt_college_prep","reqt_recommendations","sat_crit_read_25_pctl","sat_crit_read_75_pctl","sat_math_25_pctl","sat_math_75_pctl","act_composite_25_pctl","act_composite_75_pctl","act_english_25_pctl","act_english_75_pctl","act_math_25_pctl","act_math_75_pctl","institution_level","completion_rate_150pct"
"2016","144962","Elmhurst College","Illinois","3458","2486","477","Required","Required","Required","Recommended","Recommended","450","590","450","580","20","26","20","27","19","26","Four or more years","0.644"
"2016","144971","Eureka College","Illinois","1046","675","153","Recommended","Required","Required","Recommended","Recommended","410","620","410","590","19","25","18","25","18","24","Four or more years","0.44"
"2016","145275","Garrett-Evangelical Theological Seminary","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","145336","Governors State University","Illinois","1201","496","218","Recommended","Required","Required","Neither required nor recommended","Neither required nor recommended","","","","","17","21","16","22","16","20","Four or more years",""
"2016","145372","Greenville College","Illinois","1093","632","200","Neither required nor recommended","Required","Required","Recommended","Neither required nor recommended","400","540","440","540","18","25","16","24","16","25","Four or more years","0.424"
"2016","145460","Harrington College of Design","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.595"
"2016","145497","Hebrew Theological College","Illinois","153","140","83","Recommended","Required","Required","Recommended","Required","480","610","450","595","20","27","21","28","18","24","Four or more years","0.071"
"2016","145558","Rosalind Franklin University of Medicine and Science","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","145600","University of Illinois at Chicago","Illinois","17931","13196","3307","Required","Required","Required","Required","Recommended","480","580","510","655","21","27","21","28","21","27","Four or more years","0.566"
"2016","145619","Benedictine University","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.498"
"2016","145628","Illinois College of Optometry","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","145637","University of Illinois at Urbana-Champaign","Illinois","38093","22881","7592","Considered","Required","Neither required nor recommended","Required","Neither required nor recommended","580","690","705","790","26","32","25","33","25","32","Four or more years","0.85"
"2016","145646","Illinois Wesleyan University","Illinois","3841","2236","425","Recommended","Required","Recommended","Recommended","Required","510","640","620","760","25","29","25","31","24","29","Four or more years","0.784"
"2016","145691","Illinois College","Illinois","4462","2411","293","Recommended","Recommended","Required","Recommended","Recommended","","","","","","","","","","","Four or more years","0.601"
"2016","145725","Illinois Institute of Technology","Illinois","4287","2448","503","Recommended","Required","Recommended","Recommended","Required","510","640","620","720","26","31","25","32","27","32","Four or more years","0.722"
"2016","145770","Argosy University-Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.034"
"2016","145813","Illinois State University","Illinois","12078","10735","3694","Recommended","Required","Required","Required","Neither required nor recommended","","","","","21","26","21","26","19","26","Four or more years","0.688"
"2016","145886","Institute for Clinical Social Work","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","146010","Sanford-Brown College-Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","146241","The John Marshall Law School","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","146339","Judson University","Illinois","676","506","192","Considered","Required","Required","Recommended","Recommended","440","610","470","620","19","24","19","25","18","25","Four or more years","0.545"
"2016","146393","Kendall College","Illinois","154","129","57","Neither required nor recommended","Recommended","Required","Neither required nor recommended","Considered","","","","","","","","","","","Four or more years","0.383"
"2016","146427","Knox College","Illinois","3515","2292","346","Recommended","Recommended","Recommended","Required","Required","","","","","","","","","","","Four or more years","0.761"
"2016","146481","Lake Forest College","Illinois","4227","2407","363","Recommended","Recommended","Required","Required","Required","","","","","","","","","","","Four or more years","0.724"
"2016","146490","Lake Forest Graduate School of Management","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","146533","Lakeview College of Nursing","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","146612","Lewis University","Illinois","6199","3669","642","Recommended","Required","Required","Required","Recommended","460","600","520","610","21","26","20","26","19","26","Four or more years","0.67"
"2016","146667","Lincoln Christian University","Illinois","399","211","83","Considered","Required","Required","Neither required nor recommended","Required","450","480","420","520","19","24","19","24","17","24","Four or more years","0.667"
"2016","146676","Lincoln College","Illinois","1672","1037","388","Recommended","Required","Required","Neither required nor recommended","Recommended","270","410","340","400","15","19","14","19","15","18","Four or more years","0.313"
"2016","146719","Loyola University Chicago","Illinois","22712","16482","2622","Recommended","Required","Required","Recommended","Required","520","630","510","630","24","29","24","31","23","28","Four or more years","0.772"
"2016","146728","Lutheran School of Theology at Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","146755","Trinity College of Nursing & Health Sciences","Illinois","0","","","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Required","Neither required nor recommended","","","","","","","","","","","Four or more years","1"
"2016","146825","MacMurray College","Illinois","1048","589","136","Required","Required","Required","Recommended","Considered","390","460","460","480","18","22","17","22","17","22","Four or more years","0.429"
"2016","146977","McCormick Theological Seminary","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","147013","McKendree University","Illinois","2283","1556","458","Recommended","Required","Required","Required","Required","410","560","445","550","20","24","19","25","18","25","Four or more years","0.512"
"2016","147031","Meadville Lombard Theological School","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","147129","Methodist College","Illinois","80","40","17","Neither required nor recommended","Required","Required","Neither required nor recommended","Neither required nor recommended","","","","","19","23","19","21","16","21","Four or more years","0.417"
"2016","147165","Midstate College","Illinois","12","9","8","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","0.2"
"2016","147244","Millikin University","Illinois","3608","2302","448","Required","Required","Required","Recommended","Required","470","580","440","500","19","26","19","27","18","25","Four or more years","0.606"
"2016","147341","Monmouth College","Illinois","3248","1691","290","Required","Required","Required","Recommended","Required","430","530","430","560","19","26","19","25","19","25","Four or more years","0.599"
"2016","147369","Moody Bible Institute","Illinois","829","512","408","Neither required nor recommended","Recommended","Required","Recommended","Required","","","","","","","","","","","Four or more years","0.594"
"2016","147536","National Louis University","Illinois","1520","1161","315","Neither required nor recommended","Neither required nor recommended","Required","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","0.5"
"2016","147590","National University of Health Sciences","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","147660","North Central College","Illinois","6860","4072","589","Neither required nor recommended","Required","Required","Required","Recommended","480","590","500","580","22","27","21","28","21","26","Four or more years","0.688"
"2016","147679","North Park University","Illinois","1925","1813","378","Recommended","Required","Required","Recommended","Required","430","580","442","580","18","24","18","24","17","24","Four or more years","0.586"
"2016","147697","Northern Baptist Theological Seminary","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","147703","Northern Illinois University","Illinois","14980","7766","1802","Required","Required","Required","Required","Neither required nor recommended","440","550","460","570","19","25","19","25","17","25","Four or more years","0.45"
"2016","147767","Northwestern University","Illinois","35100","3743","1985","Recommended","Required","Required","Required","Required","690","760","710","800","32","34","32","34","32","34","Four or more years","0.938"
"2016","147776","Northeastern Illinois University","Illinois","6203","4405","801","Required","Required","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","410","420","410","510","16","20","13","21","15","19","Four or more years","0.23"
"2016","147828","Olivet Nazarene University","Illinois","4305","3345","704","Recommended","Required","Required","Recommended","Required","470","600","470","600","21","27","21","28","19","27","Four or more years","0.663"
"2016","148016","Principia College","Illinois","165","150","114","Recommended","Required","Required","Neither required nor recommended","Required","490","620","480","620","22","28","21","29","20","27","Four or more years","0.845"
"2016","148131","Quincy University","Illinois","1460","967","287","Recommended","Required","Required","Recommended","Recommended","440","570","470","590","18","24","17","25","16","24","Four or more years","0.457"
"2016","148177","The Illinois Institute of Art-Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.33"
"2016","148335","Robert Morris University Illinois","Illinois","2732","632","551","Recommended","Recommended","Required","Recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","0.391"
"2016","148405","Rockford University","Illinois","3013","1640","163","Considered","Required","Required","Recommended","Neither required nor recommended","490","640","460","570","19","24","18","24","18","24","Four or more years","0.415"
"2016","148487","Roosevelt University","Illinois","5994","4393","337","Recommended","Required","Required","Required","Neither required nor recommended","455","595","450","550","19","24","20","25","17","24","Four or more years","0.399"
"2016","148496","Dominican University","Illinois","4568","2911","495","Required","Required","Required","Required","Neither required nor recommended","480","570","430","630","20","25","18","25","20","26","Four or more years","0.621"
"2016","148511","Rush University","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","148575","Saint Francis Medical Center College of Nursing","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","148584","University of St Francis","Illinois","1560","768","215","Considered","Required","Required","Required","Recommended","440","530","470","580","20","26","20","25","19","25","Four or more years","0.628"
"2016","148593","St. John's College-Department of Nursing","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","148627","Saint Xavier University","Illinois","8315","6257","617","Neither required nor recommended","Required","Required","Neither required nor recommended","Recommended","435","510","430","525","19","24","19","24","18","23","Four or more years","0.524"
"2016","148654","University of Illinois at Springfield","Illinois","1467","958","300","Recommended","Required","Required","Required","Recommended","423","598","463","548","20","26","20","27","18","26","Four or more years","0.502"
"2016","148849","Shimer College","Illinois","38","38","14","Neither required nor recommended","Recommended","Recommended","Recommended","Required","","","","","","","","","","","Four or more years",""
"2016","148876","Saint Augustine College","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.394"
"2016","148885","University of Saint Mary of the Lake","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","148982","Spertus College","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","149028","Saint Anthony College of Nursing","Illinois","1","1","1","Neither required nor recommended","Neither required nor recommended","Required","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","1"
"2016","149222","Southern Illinois University-Carbondale","Illinois","9106","6980","1611","Recommended","Required","Required","Required","Neither required nor recommended","440","570","440","560","19","25","19","26","18","25","Four or more years","0.401"
"2016","149231","Southern Illinois University-Edwardsville","Illinois","7274","6496","1935","Recommended","Required","Required","Recommended","Neither required nor recommended","458","505","440","558","20","26","20","26","18","26","Four or more years","0.485"
"2016","149240","Southern Illinois University-System Office","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","149329","Telshe Yeshiva-Chicago","Illinois","26","24","21","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Required","Required","","","","","","","","","","","Four or more years","0.227"
"2016","149505","Trinity Christian College","Illinois","884","619","160","Recommended","Required","Required","Required","Required","416","618","450","600","20","27","20","27","22","26","Four or more years","0.688"
"2016","149514","Trinity International University-Illinois","Illinois","542","324","146","Recommended","Required","Required","Required","Required","450","570","430","620","20","27","19","27","20","26","Four or more years","0.516"
"2016","149587","University of Illinois University Administration","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","149639","VanderCook College of Music","Illinois","51","46","20","Considered","Required","Required","Considered","Required","","","","","20","25","20","29","20","27","Four or more years","0.762"
"2016","149763","Resurrection University","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","149772","Western Illinois University","Illinois","10191","6059","1527","Recommended","Required","Required","Recommended","Neither required nor recommended","","","","","18","23","17","23","17","23","Four or more years","0.504"
"2016","149781","Wheaton College","Illinois","1850","1455","588","Recommended","Required","Required","Required","Required","590","710","580","690","27","32","27","34","25","30","Four or more years","0.889"
"2016","260947","Christian Life College","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.4"
"2016","260956","Knowledge Systems Institute","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","260974","ITT Technical Institute-Arlington Heights","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","409254","Erikson Institute","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","414586","ITT Technical Institute-Orland Park","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","420866","Argosy University-Schaumburg","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","428286","The Illinois Institute of Art-Schaumburg","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.402"
"2016","434557","ITT Technical Institute-Oak Brook","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","439020","Midwest College of Oriental Medicine-Evanston","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","442161","University of Phoenix-Illinois","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.124"
"2016","442842","Pacific College of Oriental Medicine-Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","1"
"2016","443030","NorthShore University HealthSystem School of Nurse Anesthesia","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","443702","Bexley Hall Seabury Western Theological Seminary Federation, Inc.","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","445027","American InterContinental University-Online","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.219"
"2016","445054","Toyota Technological Institute at Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","448673","Rasmussen College-Illinois","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.304"
"2016","454218","Chamberlain College of Nursing-Administrative Office","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","454227","Chamberlain College of Nursing-Illinois","Illinois","31","24","19","Neither required nor recommended","Recommended","Required","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","0.5"
"2016","457527","Ambria College of Nursing","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.667"
"2016","460747","Tribeca Flashpoint College","Illinois","258","252","94","Neither required nor recommended","Neither required nor recommended","Recommended","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","0.757"
"2016","479655","ITT Technical Institute-Springfield","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2016","482477","DeVry University-Illinois","Illinois","1328","1207","986","Neither required nor recommended","Recommended","Required","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","0.206"
"2016","483984","Morthland College","Illinois","124","67","31","Required","Required","Required","Neither required nor recommended","Required","400","430","380","460","17","23","16","23","16","24","Four or more years",""
"2016","488086","Northwest Suburban College","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.787"
"2015","142832","Adler University","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","142887","American Academy of Art","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.436"
"2015","142957","American Islamic College","Illinois","7","7","5","Recommended","Required","Required","Neither required nor recommended","Required","380","440","330","410","","","","","","","Four or more years",""
"2015","143048","School of the Art Institute of Chicago","Illinois","4210","2799","574","Neither required nor recommended","Required","Neither required nor recommended","Neither required nor recommended","Required","520","630","510","670","22","28","22","30","20","26","Four or more years","0.657"
"2015","143084","Augustana College","Illinois","6712","3312","678","Recommended","Recommended","Required","Recommended","Recommended","","","","","","","","","","","Four or more years","0.769"
"2015","143118","Aurora University","Illinois","2843","2196","630","Recommended","Required","Required","Required","Recommended","450","548","460","530","19","23","18","23","18","24","Four or more years","0.582"
"2015","143288","Blackburn College","Illinois","1078","598","160","Required","Required","Required","Recommended","Recommended","365","520","415","510","19","24","17","24","18","25","Four or more years","0.42"
"2015","143297","Blessing Rieman College of Nursing","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","143358","Bradley University","Illinois","9186","6033","929","Recommended","Required","Required","Required","Recommended","500","620","520","650","23","28","22","29","23","28","Four or more years","0.745"
"2015","143659","Catholic Theological Union at Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","143853","Midwestern University-Downers Grove","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","143978","The Chicago School of Professional Psychology at Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","144005","Chicago State University","Illinois","5883","1246","199","Neither required nor recommended","Required","Required","Recommended","Required","435","518","493","560","16","20","15","20","16","19","Four or more years","0.164"
"2015","144014","Chicago Theological Seminary","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","144050","University of Chicago","Illinois","30069","2521","1537","Recommended","Required","Recommended","Neither required nor recommended","Required","720","800","720","800","32","35","33","35","30","35","Four or more years","0.942"
"2015","144281","Columbia College-Chicago","Illinois","8391","7389","1805","Neither required nor recommended","Recommended","Required","Required","Required","","","","","","","","","","","Four or more years","0.445"
"2015","144351","Concordia University-Chicago","Illinois","4448","2238","294","Recommended","Required","Required","Recommended","Neither required nor recommended","450","550","470","590","20","25","20","25","18","25","Four or more years","0.475"
"2015","144740","DePaul University","Illinois","19628","14129","2519","Recommended","Recommended","Required","Required","Required","","","","","","","","","","","Four or more years","0.725"
"2015","144777","DeVry University-Administrative Office","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","144883","East-West University","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.113"
"2015","144892","Eastern Illinois University","Illinois","9103","4571","1143","Recommended","Required","Required","Required","Recommended","","","","","19","24","18","24","17","24","Four or more years","0.573"
"2015","144962","Elmhurst College","Illinois","3620","1983","478","Required","Required","Required","Recommended","Recommended","485","600","485","605","21","26","20","26","20","26","Four or more years","0.689"
"2015","144971","Eureka College","Illinois","1225","764","165","Recommended","Required","Required","Recommended","Recommended","510","630","530","640","19","25","18","27","18","26","Four or more years","0.517"
"2015","145275","Garrett-Evangelical Theological Seminary","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","145336","Governors State University","Illinois","1114","433","203","Recommended","Required","Required","Neither required nor recommended","Neither required nor recommended","455","570","400","500","17","21","16","22","16","20","Four or more years",""
"2015","145372","Greenville College","Illinois","1901","1070","260","Neither required nor recommended","Required","Required","Recommended","Recommended","440","530","430","540","19","25","18","25","17","25","Four or more years","0.466"
"2015","145460","Harrington College of Design","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.431"
"2015","145497","Hebrew Theological College","Illinois","403","390","351","Recommended","Required","Required","Recommended","Required","490","600","450","570","19","25","20","27","17","24","Four or more years","0.053"
"2015","145558","Rosalind Franklin University of Medicine and Science","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","145600","University of Illinois at Chicago","Illinois","15664","12007","3485","Required","Required","Required","Required","Recommended","470","590","520","670","21","26","21","27","21","27","Four or more years","0.578"
"2015","145619","Benedictine University","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.507"
"2015","145628","Illinois College of Optometry","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","145637","University of Illinois at Urbana-Champaign","Illinois","34277","22471","7562","Recommended","Required","Recommended","Required","Neither required nor recommended","570","680","700","790","26","31","25","33","26","32","Four or more years","0.852"
"2015","145646","Illinois Wesleyan University","Illinois","3744","2318","450","Recommended","Required","Recommended","Recommended","Required","540","640","640","730","25","30","25","32","25","29","Four or more years","0.807"
"2015","145691","Illinois College","Illinois","2431","1471","240","Recommended","Recommended","Required","Recommended","Recommended","","","","","","","","","","","Four or more years","0.68"
"2015","145725","Illinois Institute of Technology","Illinois","4403","2321","479","Recommended","Required","Recommended","Recommended","Required","520","650","630","730","25","30","25","32","27","32","Four or more years","0.714"
"2015","145770","Argosy University-Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.053"
"2015","145813","Illinois State University","Illinois","12139","10648","3630","Recommended","Required","Required","Required","Neither required nor recommended","","","","","21","26","21","26","20","26","Four or more years","0.722"
"2015","145886","Institute for Clinical Social Work","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","146010","Sanford-Brown College-Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years","0.188"
"2015","146241","The John Marshall Law School","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","146339","Judson University","Illinois","653","461","156","Neither required nor recommended","Required","Required","Recommended","Recommended","520","570","450","590","21","26","20","27","19","26","Four or more years","0.643"
"2015","146393","Kendall College","Illinois","176","131","71","Neither required nor recommended","Recommended","Required","Neither required nor recommended","Recommended","","","","","","","","","","","Four or more years","0.375"
"2015","146427","Knox College","Illinois","3445","2198","387","Recommended","Recommended","Recommended","Required","Required","","","","","","","","","","","Four or more years","0.774"
"2015","146481","Lake Forest College","Illinois","3373","1855","358","Recommended","Recommended","Required","Required","Required","","","","","","","","","","","Four or more years","0.699"
"2015","146490","Lake Forest Graduate School of Management","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","146533","Lakeview College of Nursing","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","146612","Lewis University","Illinois","5728","3542","702","Recommended","Required","Required","Required","Recommended","500","560","500","600","20","25","20","25","19","25","Four or more years","0.616"
"2015","146667","Lincoln Christian University","Illinois","250","149","91","Recommended","Required","Required","Recommended","Required","330","470","380","520","19","25","18","25","17","25","Four or more years","0.613"
"2015","146676","Lincoln College","Illinois","1343","693","371","Recommended","Required","Required","Neither required nor recommended","Recommended","330","450","360","380","15","19","14","19","15","18","Four or more years","0.372"
"2015","146719","Loyola University Chicago","Illinois","21555","15360","2194","Recommended","Required","Required","Recommended","Required","520","630","518","630","24","29","24","31","23","28","Four or more years","0.749"
"2015","146728","Lutheran School of Theology at Chicago","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","146755","Trinity College of Nursing & Health Sciences","Illinois","5","3","2","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Required","Neither required nor recommended","","","","","","","","","","","Four or more years","1"
"2015","146825","MacMurray College","Illinois","959","601","130","Required","Required","Required","Recommended","Neither required nor recommended","390","428","413","460","17","22","15","22","16","23","Four or more years","0.233"
"2015","146977","McCormick Theological Seminary","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","147013","McKendree University","Illinois","1904","1209","362","Recommended","Required","Required","Required","Required","450","550","420","530","19","24","19","24","18","25","Four or more years","0.519"
"2015","147031","Meadville Lombard Theological School","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","147129","Methodist College","Illinois","78","40","12","Neither required nor recommended","Required","Required","Neither required nor recommended","Neither required nor recommended","","","","","20","24","20","23","18","24","Four or more years","0.462"
"2015","147165","Midstate College","Illinois","19","19","10","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","0.238"
"2015","147244","Millikin University","Illinois","3540","2124","420","Required","Required","Required","Recommended","Required","480","590","460","590","20","26","19","27","18","26","Four or more years","0.6"
"2015","147341","Monmouth College","Illinois","2657","1658","272","Required","Required","Required","Recommended","Required","","","","","20","26","20","26","20","26","Four or more years","0.558"
"2015","147369","Moody Bible Institute","Illinois","1061","725","507","Neither required nor recommended","Recommended","Required","Recommended","Required","","","","","","","","","","","Four or more years","0.612"
"2015","147536","National Louis University","Illinois","243","198","81","Neither required nor recommended","Neither required nor recommended","Required","Neither required nor recommended","Neither required nor recommended","","","","","","","","","","","Four or more years","0.302"
"2015","147590","National University of Health Sciences","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","147660","North Central College","Illinois","7307","4177","599","Neither required nor recommended","Required","Required","Required","Recommended","","","","","22","27","21","27","21","27","Four or more years","0.687"
"2015","147679","North Park University","Illinois","3901","1929","358","Recommended","Required","Required","Recommended","Required","450","580","460","590","19","24","19","25","18","24","Four or more years","0.533"
"2015","147697","Northern Baptist Theological Seminary","Illinois","","","","","","","","","","","","","","","","","","","Four or more years",""
"2015","147703","Northern Illinois University","Illinois","17099","8610","2259","Required","Required","Required","Required","Neither required nor recommended","450","530","450","550","19","25","19","25","18","25","Four or more years","0.465"
"2015","147767","Northwestern University","Illinois","32122","4190","2018","Recommended","Required","Required","Required","Required","690","760","710","800","31","34","33","35","30","35","Four or more years","0.935"
"2015","147776","Northeastern Illinois University","Illinois","4499","3016","749","Required","Required","Neither required nor recommended","Neither required nor recommended","Neither required nor recommended","300","465","425","455","16","20","14","21","16","20","Four or more years","0.239"
"2015","147828","Olivet Nazarene University","Illinois","4133","3165","734","Recommended","Required","Recommended","Recommended","Required","460","580","470","570","20","27","20","27","19","26","Four or more years","0.572"
"2015","148016","Principia College","Illinois","159","120","79","Recommended","Required","Required","Neither required nor recommended","Required","460","590","470","608","21","27","21","28","20","27","Four or more years","0.677"
